video_id,video_name,stats.movement_counts.static_shot,z_score
6851858629604150540,6851858629604150540.mp4,83.0,18.261990428366826
7034473142282095904,7034473142282095904.mp4,64.0,13.9564886994668
6988355283214929155,6988355283214929155.mp4,54.0,11.69043515794047
7055611209025850662,7055611209025850662.mp4,46.0,9.877592324719407
6998866339808955659,6998866339808955659.mp4,45.0,9.650986970566773
3xkaxd72w6rqct9,3xkaxd72w6rqct9.mp4,43.0,9.197776262261508
7013557383226051872,7013557383226051872.mp4,40.0,8.517960199803609
6770980407262399752,6770980407262399752.mp4,37.0,7.838144137345709
3xzfu98w5vd8rym,3xzfu98w5vd8rym.mp4,36.0,7.611538783193076
7054011574050147598,7054011574050147598.mp4,36.0,7.611538783193076
6958748319191452964,6958748319191452964.mp4,34.0,7.158328074887811
6987554046303407391,6987554046303407391.mp4,34.0,7.158328074887811
7055532121758158112,7055532121758158112.mp4,33.0,6.931722720735178
7028453876248399135,7028453876248399135.mp4,32.0,6.705117366582545
6923485823371447559,6923485823371447559.mp4,31.0,6.478512012429912
6910459766439447819,6910459766439447819.mp4,31.0,6.478512012429912
7000998985607531780,7000998985607531780.mp4,31.0,6.478512012429912
7043426723593014562,7043426723593014562.mp4,29.0,6.025301304124646
6921575944729693447,6921575944729693447.mp4,28.0,5.7986959499720125
6845297094828281092,6845297094828281092.mp4,28.0,5.7986959499720125
7004711785823472936,7004711785823472936.mp4,27.0,5.57209059581938
7035566006554643751,7035566006554643751.mp4,27.0,5.57209059581938
7009133406340631842,7009133406340631842.mp4,27.0,5.57209059581938
7016295347622366504,7016295347622366504.mp4,25.0,5.1188798875141135
6867356883720736011,6867356883720736011.mp4,25.0,5.1188798875141135
7002783251727142174,7002783251727142174.mp4,23.0,4.665669179208848
7008815008708611360,7008815008708611360.mp4,23.0,4.665669179208848
6813262520137026827,6813262520137026827.mp4,23.0,4.665669179208848
7018783925770128655,7018783925770128655.mp4,23.0,4.665669179208848
7050479213098388777,7050479213098388777.mp4,22.0,4.439063825056214
6910071453115337997,6910071453115337997.mp4,22.0,4.439063825056214
7030642279803079973,7030642279803079973.mp4,22.0,4.439063825056214
6825848797239774475,6825848797239774475.mp4,21.0,4.212458470903582
7030728031652138273,7030728031652138273.mp4,21.0,4.212458470903582
6858543833941101836,6858543833941101836.mp4,21.0,4.212458470903582
3x86dqjqgniye9q,3x86dqjqgniye9q.mp4,21.0,4.212458470903582
6984730768262188301,6984730768262188301.mp4,21.0,4.212458470903582
6862620046783548686,6862620046783548686.mp4,21.0,4.212458470903582
6851858679331884301,6851858679331884301.mp4,21.0,4.212458470903582
6837363937797803278,6837363937797803278.mp4,21.0,4.212458470903582
7055906127388658974,7055906127388658974.mp4,20.0,3.985853116750949
7029845929318436132,7029845929318436132.mp4,20.0,3.985853116750949
6588370236414627085,6588370236414627085.mp4,20.0,3.985853116750949
6987976900471770399,6987976900471770399.mp4,20.0,3.985853116750949
7038252244478840095,7038252244478840095.mp4,20.0,3.985853116750949
7002787673081449741,7002787673081449741.mp4,20.0,3.985853116750949
7037720351664590120,7037720351664590120.mp4,20.0,3.985853116750949
7045383922292641031,7045383922292641031.mp4,20.0,3.985853116750949
7027674089112341795,7027674089112341795.mp4,19.0,3.759247762598316
6753996415292149005,6753996415292149005.mp4,19.0,3.759247762598316
