video_id,video_name,stats.movement_counts.pan_horizontal,z_score
7028453876248399135,7028453876248399135.mp4,41.0,21.47749225582325
6826634159990017291,6826634159990017291.mp4,22.0,11.342800597606654
3xpxazku5zy6hki,3xpxazku5zy6hki.mp4,22.0,11.342800597606654
6910071453115337997,6910071453115337997.mp4,17.0,8.675776477023339
7055924468711050503,7055924468711050503.mp4,17.0,8.675776477023339
6996165317244341541,6996165317244341541.mp4,17.0,8.675776477023339
6815055785375108363,6815055785375108363.mp4,16.0,8.142371652906677
6987976900471770399,6987976900471770399.mp4,16.0,8.142371652906677
6766392183114222856,6766392183114222856.mp4,16.0,8.142371652906677
7021093041859579150,7021093041859579150.mp4,15.0,7.608966828790014
7023492285463612708,7023492285463612708.mp4,14.0,7.07556200467335
6862706010994248975,6862706010994248975.mp4,14.0,7.07556200467335
3xf6gzk8mebxyjm,3xf6gzk8mebxyjm.mp4,13.0,6.542157180556687
7024788820474318094,7024788820474318094.mp4,13.0,6.542157180556687
6898573443512552717,6898573443512552717.mp4,13.0,6.542157180556687
6845297094828281092,6845297094828281092.mp4,12.0,6.0087523564400245
6658859333775838476,6658859333775838476.mp4,12.0,6.0087523564400245
7007322146288504096,7007322146288504096.mp4,12.0,6.0087523564400245
6813262520137026827,6813262520137026827.mp4,12.0,6.0087523564400245
7033568781016239400,7033568781016239400.mp4,12.0,6.0087523564400245
7003606994833771806,7003606994833771806.mp4,11.0,5.475347532323362
7055906127388658974,7055906127388658974.mp4,11.0,5.475347532323362
6824303959415557387,6824303959415557387.mp4,11.0,5.475347532323362
7028536210775723272,7028536210775723272.mp4,11.0,5.475347532323362
7030642279803079973,7030642279803079973.mp4,11.0,5.475347532323362
6659638348123999492,6659638348123999492.mp4,11.0,5.475347532323362
6906797838299090184,6906797838299090184.mp4,11.0,5.475347532323362
6958612363197041931,6958612363197041931.mp4,11.0,5.475347532323362
6956472320345066785,6956472320345066785.mp4,11.0,5.475347532323362
6810751381972995336,6810751381972995336.mp4,10.0,4.941942708206699
7024047971012480293,7024047971012480293.mp4,10.0,4.941942708206699
7037462720379211011,7037462720379211011.mp4,10.0,4.941942708206699
3x2gz8xbnubcjzu,3x2gz8xbnubcjzu.mp4,10.0,4.941942708206699
6851858629604150540,6851858629604150540.mp4,10.0,4.941942708206699
7024722988222123302,7024722988222123302.mp4,10.0,4.941942708206699
6980156179301387533,6980156179301387533.mp4,10.0,4.941942708206699
7008825846341340449,7008825846341340449.mp4,9.0,4.408537884090036
6729863166571908359,6729863166571908359.mp4,9.0,4.408537884090036
7051110607449263398,7051110607449263398.mp4,9.0,4.408537884090036
7026575265421610244,7026575265421610244.mp4,9.0,4.408537884090036
6958748319191452964,6958748319191452964.mp4,9.0,4.408537884090036
6906526529145081103,6906526529145081103.mp4,9.0,4.408537884090036
6992447450963365128,6992447450963365128.mp4,9.0,4.408537884090036
7055213699849538831,7055213699849538831.mp4,9.0,4.408537884090036
6829659638355479811,6829659638355479811.mp4,9.0,4.408537884090036
6849160135001115917,6849160135001115917.mp4,9.0,4.408537884090036
6862620046783548686,6862620046783548686.mp4,8.0,3.875133059973373
6988436971450371342,6988436971450371342.mp4,8.0,3.875133059973373
7050820590671842572,7050820590671842572.mp4,8.0,3.875133059973373
7021764129945898271,7021764129945898271.mp4,8.0,3.875133059973373
