video_id,video_name,stats.num_shots,z_score
7028453876248399135,7028453876248399135.mp4,140.0,15.633717299564301
6851858629604150540,6851858629604150540.mp4,94.0,10.302183081584628
6910071453115337997,6910071453115337997.mp4,77.0,8.331833479287793
7055906127388658974,7055906127388658974.mp4,75.0,8.10002764372346
6990508795952713000,6990508795952713000.mp4,70.0,7.520513054812625
7027674089112341795,7027674089112341795.mp4,70.0,7.520513054812625
7045383922292641031,7045383922292641031.mp4,70.0,7.520513054812625
7041933462365883683,7041933462365883683.mp4,70.0,7.520513054812625
7037803401752677662,7037803401752677662.mp4,70.0,7.520513054812625
6897953983655136527,6897953983655136527.mp4,69.0,7.404610137030459
7026575265421610244,7026575265421610244.mp4,69.0,7.404610137030459
7034473142282095904,7034473142282095904.mp4,68.0,7.288707219248292
7035566006554643751,7035566006554643751.mp4,68.0,7.288707219248292
6958612363197041931,6958612363197041931.mp4,66.0,7.056901383683958
6956472320345066785,6956472320345066785.mp4,66.0,7.056901383683958
6824303959415557387,6824303959415557387.mp4,64.0,6.825095548119625
7055611209025850662,7055611209025850662.mp4,64.0,6.825095548119625
6988355283214929155,6988355283214929155.mp4,62.0,6.593289712555292
7054011574050147598,7054011574050147598.mp4,61.0,6.477386794773125
6998866339808955659,6998866339808955659.mp4,61.0,6.477386794773125
6987976900471770399,6987976900471770399.mp4,59.0,6.245580959208791
6958748319191452964,6958748319191452964.mp4,59.0,6.245580959208791
7002783251727142174,7002783251727142174.mp4,59.0,6.245580959208791
7033661092387720460,7033661092387720460.mp4,58.0,6.129678041426624
7051110607449263398,7051110607449263398.mp4,57.0,6.013775123644457
3xpxazku5zy6hki,3xpxazku5zy6hki.mp4,56.0,5.89787220586229
3xkaxd72w6rqct9,3xkaxd72w6rqct9.mp4,56.0,5.89787220586229
6766392183114222856,6766392183114222856.mp4,55.0,5.7819692880801234
7008825846341340449,7008825846341340449.mp4,52.0,5.434260534733624
6906526529145081103,6906526529145081103.mp4,50.0,5.20245469916929
6845297094828281092,6845297094828281092.mp4,50.0,5.20245469916929
6862620046783548686,6862620046783548686.mp4,50.0,5.20245469916929
6658859333775838476,6658859333775838476.mp4,49.0,5.086551781387123
6815055785375108363,6815055785375108363.mp4,49.0,5.086551781387123
7055213699849538831,7055213699849538831.mp4,48.0,4.970648863604956
7024788820474318094,7024788820474318094.mp4,48.0,4.970648863604956
6906797838299090184,6906797838299090184.mp4,48.0,4.970648863604956
7055924468711050503,7055924468711050503.mp4,47.0,4.854745945822789
3xzfu98w5vd8rym,3xzfu98w5vd8rym.mp4,47.0,4.854745945822789
7003606994833771806,7003606994833771806.mp4,46.0,4.738843028040622
6858543833941101836,6858543833941101836.mp4,45.0,4.622940110258456
6987554046303407391,6987554046303407391.mp4,44.0,4.5070371924762895
6872644808154844424,6872644808154844424.mp4,44.0,4.5070371924762895
7030642279803079973,7030642279803079973.mp4,44.0,4.5070371924762895
7037462720379211011,7037462720379211011.mp4,43.0,4.391134274694123
7013557383226051872,7013557383226051872.mp4,42.0,4.275231356911956
7055532121758158112,7055532121758158112.mp4,42.0,4.275231356911956
6923485823371447559,6923485823371447559.mp4,42.0,4.275231356911956
6826634159990017291,6826634159990017291.mp4,41.0,4.159328439129789
6849160135001115917,6849160135001115917.mp4,39.0,3.927522603565455
