video_id,video_name,stats.lighting.s_mean,z_score
6875217471041735939,6875217471041735939.mp4,0.987,4.2774880054996105
3xpxazku5zy6hki,3xpxazku5zy6hki.mp4,0.955,4.0841937105462165
7024878215407619362,7024878215407619362.mp4,0.915,3.8425758418544755
6746074256381054215,6746074256381054215.mp4,0.912,3.8244545017025944
6661955363564309764,6661955363564309764.mp4,0.902,3.764050034529659
6605813001754774798,6605813001754774798.mp4,0.9,3.7519691410950715
7025136991641537833,7025136991641537833.mp4,0.877,3.6130388665973205
6702031746860453127,6702031746860453127.mp4,0.875,3.6009579731627332
6855981062661754112,6855981062661754112.mp4,0.862,3.5224321658379165
6795781027680898304,6795781027680898304.mp4,0.855,3.480149038816862
7054496591473855747,7054496591473855747.mp4,0.844,3.4137041249266327
6963661561554586895,6963661561554586895.mp4,0.839,3.3835018913401655
3x7a7juzrk3g8ak,3x7a7juzrk3g8ak.mp4,0.838,3.3774614446228712
3xb22nscgvnff3w,3xb22nscgvnff3w.mp4,0.829,3.32309742416723
3x65sbt4v37rncy,3x65sbt4v37rncy.mp4,0.824,3.2928951905807615
7024868156531330304,7024868156531330304.mp4,0.82,3.268733403711587
6719639684600941836,6719639684600941836.mp4,0.814,3.232490723407826
3x3n7i5r7mx3zqc,3x3n7i5r7mx3zqc.mp4,0.814,3.232490723407826
6914868017910320384,6914868017910320384.mp4,0.813,3.226450276690533
3x68zxc3ic2uk7c,3x68zxc3ic2uk7c.mp4,0.813,3.226450276690533
6829659638355479811,6829659638355479811.mp4,0.811,3.2143693832559457
6844791137807420686,6844791137807420686.mp4,0.81,3.2083289365386527
3x8y3r78ih2pcea,3x8y3r78ih2pcea.mp4,0.808,3.196248043104066
6960500262389697806,6960500262389697806.mp4,0.805,3.1781267029521847
6960982614324874496,6960982614324874496.mp4,0.798,3.1358435759311303
6799610832528477454,6799610832528477454.mp4,0.792,3.099600895627369
3xksn2sa94by5ge,3xksn2sa94by5ge.mp4,0.789,3.0814795554754877
6818177047186181388,6818177047186181388.mp4,0.789,3.0814795554754877
3xdepya4cw8t6t2,3xdepya4cw8t6t2.mp4,0.787,3.0693986620409004
6855475582453484811,6855475582453484811.mp4,0.786,3.0633582153236074
6991335890241015078,6991335890241015078.mp4,0.782,3.0391964284544333
6987765025024773380,6987765025024773380.mp4,0.779,3.021075088302552
6829612419829075212,6829612419829075212.mp4,0.779,3.021075088302552
6855504368691678472,6855504368691678472.mp4,0.777,3.0089941948679653
6753893273120623886,6753893273120623886.mp4,0.775,2.996913301433378
6969600590737378599,6969600590737378599.mp4,0.774,2.9908728547160846
3xga25kuspsv7tg,3xga25kuspsv7tg.mp4,0.772,2.9787919612814973
3xwgej7egf9857u,3xwgej7egf9857u.mp4,0.771,2.972751514564204
6905746694005099791,6905746694005099791.mp4,0.77,2.9667110678469104
6752500200847265027,6752500200847265027.mp4,0.77,2.9667110678469104
7018140769592675620,7018140769592675620.mp4,0.767,2.9485897276950297
6991315650144767269,6991315650144767269.mp4,0.765,2.9365088342604424
6874376605016280328,6874376605016280328.mp4,0.765,2.9365088342604424
3x432tjvxinwezy,3x432tjvxinwezy.mp4,0.764,2.930468387543149
7054804462501776651,7054804462501776651.mp4,0.763,2.9244279408258556
7050044992445893918,7050044992445893918.mp4,0.76,2.906306600673975
7056726761974926628,7056726761974926628.mp4,0.758,2.8942257072393875
7025048954974833934,7025048954974833934.mp4,0.753,2.86402347365292
3x6rd6qtetk9b5m,3x6rd6qtetk9b5m.mp4,0.752,2.8579830269356266
6683802242291698958,6683802242291698958.mp4,0.745,2.8156998999145713
