procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0 1030464 202825280  30308 772605312    4    6    11    79    0    0  4  0 96  0  0
 7  0 1030464 202583360  30308 772605312    0    0     0     0 56032 7163  8  0 91  0  0
 7  0 1030464 202495568  30308 772605312    0    0     0   425 42846 5932  6  0 93  0  0
 6  0 1030464 202474272  30308 772605312    0    0     0    22 29029 5141  4  0 96  0  0
 6  0 1030464 202304304  30308 772605312    0    0     0  5363 35182 6486  4  0 96  0  0
 6  0 1030464 201834256  30308 772613504    0    0     0    18 18116 5371  5  0 95  0  0
 6  0 1030464 200792656  30308 772613504    0    0     0    58 14217 5184  3  0 96  0  0
 7  0 1030464 199111520  30308 772613568    0    0     0     0 11510 5822  3  0 97  0  0
 6  0 1030464 198090016  30308 772613568    0    0     0    10 11240 4533  3  0 97  0  0
 6  0 1030464 197497776  30308 772613568    0    0     0   137 13137 6144  3  0 96  0  0
 6  0 1030464 196013152  30308 772613568    0    0     0    69 11158 5227  3  0 97  0  0
 6  0 1030464 194286624  30308 772613568    0    0     0     0 11964 4913  3  0 96  0  0
 6  0 1030464 193744192  30308 772613568    0    0     0     0 13556 4949  3  0 97  0  0
 6  0 1030464 192824480  30308 772613568    0    0     0  2120 12508 5186  3  0 96  0  0
 6  0 1030464 191273712  30308 772613568    0    0     0     0 13199 6171  3  0 97  0  0
 6  0 1030464 189967744  30308 772613632    0    0     0   147 24196 35744  2  1 97  0  0
 7  0 1030464 189836944  30308 772616256    0    0     8   272 41538 25455  6  1 93  0  0
 8  0 1078848 189288928  30308 772555712    0 48384    76 48442 63737 26792 16  1 83  0  0
 6  0 1111872 189633856  30308 772529664    0 32824    76 32857 59823 27609 16  1 83  0  0
262  0 1111872 188687936  30308 772529792    0    0    68  5460 416704 25720 32  1 67  0  0
 7  0 1111872 188805280  30308 772543104    0    0  2308     0 138300 20630 19  1 80  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
