video_id,video_name,stats.movement_counts.tilt_vertical,z_score
7218913957489298694,7218913957489298694.mp4,21.0,14.633727336760844
7333635381662879019,7333635381662879019.mp4,15.0,10.338319533798906
7342949274457574702,7342949274457574702.mp4,14.0,9.622418233305249
7254422976064408834,7254422976064408834.mp4,11.0,7.474714331824278
7281038330848922922,7281038330848922922.mp4,11.0,7.474714331824278
7273756043782491434,7273756043782491434.mp4,11.0,7.474714331824278
7329967528837467435,7329967528837467435.mp4,9.0,6.042911730836964
7321361106348428586,7321361106348428586.mp4,9.0,6.042911730836964
7276781658496404768,7276781658496404768.mp4,9.0,6.042911730836964
7326627390904470816,7326627390904470816.mp4,9.0,6.042911730836964
7256118790000217390,7256118790000217390.mp4,8.0,5.327010430343307
7259932752743566597,7259932752743566597.mp4,8.0,5.327010430343307
7339941686157626656,7339941686157626656.mp4,8.0,5.327010430343307
7334761416894844202,7334761416894844202.mp4,8.0,5.327010430343307
7116608504693017861,7116608504693017861.mp4,8.0,5.327010430343307
7248339784886881582,7248339784886881582.mp4,8.0,5.327010430343307
7288789773324438817,7288789773324438817.mp4,8.0,5.327010430343307
7199511678671719726,7199511678671719726.mp4,8.0,5.327010430343307
7236096696013311274,7236096696013311274.mp4,7.0,4.61110912984965
7212265729310231854,7212265729310231854.mp4,7.0,4.61110912984965
7309164741044325675,7309164741044325675.mp4,7.0,4.61110912984965
7253105055149198635,7253105055149198635.mp4,7.0,4.61110912984965
7319201133833080094,7319201133833080094.mp4,7.0,4.61110912984965
7342171746306411819,7342171746306411819.mp4,7.0,4.61110912984965
7122618977485868293,7122618977485868293.mp4,6.0,3.8952078293559937
7324421231204125998,7324421231204125998.mp4,6.0,3.8952078293559937
7338191188232506654,7338191188232506654.mp4,6.0,3.8952078293559937
7318710781317483818,7318710781317483818.mp4,6.0,3.8952078293559937
7299183563436592389,7299183563436592389.mp4,6.0,3.8952078293559937
7093216545924746542,7093216545924746542.mp4,6.0,3.8952078293559937
7184891281691135275,7184891281691135275.mp4,6.0,3.8952078293559937
7072659968909954305,7072659968909954305.mp4,6.0,3.8952078293559937
7317793217154452782,7317793217154452782.mp4,5.0,3.179306528862337
7333850646103428394,7333850646103428394.mp4,5.0,3.179306528862337
7328050830161087790,7328050830161087790.mp4,5.0,3.179306528862337
7333633195046456622,7333633195046456622.mp4,5.0,3.179306528862337
7259828638676225322,7259828638676225322.mp4,5.0,3.179306528862337
7302467862906604842,7302467862906604842.mp4,5.0,3.179306528862337
7325903448317136174,7325903448317136174.mp4,5.0,3.179306528862337
7276899059309301034,7276899059309301034.mp4,5.0,3.179306528862337
7165157479045696774,7165157479045696774.mp4,5.0,3.179306528862337
7213732976545287430,7213732976545287430.mp4,5.0,3.179306528862337
7200904983003385131,7200904983003385131.mp4,5.0,3.179306528862337
7278332026778914053,7278332026778914053.mp4,5.0,3.179306528862337
7326709438155476267,7326709438155476267.mp4,5.0,3.179306528862337
7333663991891332395,7333663991891332395.mp4,4.0,2.4634052283686803
7325273033332198702,7325273033332198702.mp4,4.0,2.4634052283686803
7306834549990837546,7306834549990837546.mp4,4.0,2.4634052283686803
7282799777673153835,7282799777673153835.mp4,4.0,2.4634052283686803
7293241282871414059,7293241282871414059.mp4,4.0,2.4634052283686803
