video_id,video_name,stats.lighting.v_std,z_score
7209726742934752558,7209726742934752558.mp4,0.0,-3.553493099409603
7291223254650326277,7291223254650326277.mp4,0.0,-3.553493099409603
7263341559809182983,7263341559809182983.mp4,0.0,-3.553493099409603
7270592345639357739,7270592345639357739.mp4,0.0,-3.553493099409603
7199767702469332270,7199767702469332270.mp4,0.015,-3.3579987751169873
6954378448177515782,6954378448177515782.mp4,0.021,-3.2798010453999407
6918625486524435718,6918625486524435718.mp4,0.021,-3.2798010453999407
7206658424749313282,7206658424749313282.mp4,0.023,-3.253735135494259
7266488655886224682,7266488655886224682.mp4,0.024,-3.240702180541418
6974227354545605893,6974227354545605893.mp4,0.044,-2.9800430814845975
7085873183756143914,7085873183756143914.mp4,0.044,-2.9800430814845975
6991676181066091782,6991676181066091782.mp4,0.053,-2.862746486909028
7324901378667597098,7324901378667597098.mp4,0.055,-2.836680577003346
6987873619728764165,6987873619728764165.mp4,0.057,-2.810614667097664
7151138921404140846,7151138921404140846.mp4,0.059,-2.784548757191982
7326663175296929067,7326663175296929067.mp4,0.486,2.7805230076711394
7333645245663431967,7333645245663431967.mp4,0.061,-2.7584828472862997
7198856904838368554,7198856904838368554.mp4,0.064,-2.7193839824277766
7263937356452023598,7263937356452023598.mp4,0.064,-2.7193839824277766
7322201805679562026,7322201805679562026.mp4,0.479,2.689292323001252
7174910631513050414,7174910631513050414.mp4,0.067,-2.6802851175692535
7206789566513122603,7206789566513122603.mp4,0.478,2.6762593680484112
6782316647144230150,6782316647144230150.mp4,0.069,-2.6542192076635716
7273527966674521386,7273527966674521386.mp4,0.071,-2.628153297757889
7225021370671844650,7225021370671844650.mp4,0.474,2.624127548237047
7183400392888225070,7183400392888225070.mp4,0.072,-2.6151203428050485
7282620952683449646,7282620952683449646.mp4,0.47,2.5719957284256827
7239135742985915691,7239135742985915691.mp4,0.076,-2.562988522993684
6935793225072430342,6935793225072430342.mp4,0.079,-2.523889658135161
7256843725668748590,7256843725668748590.mp4,0.466,2.5198639086143193
7273104229747658026,7273104229747658026.mp4,0.465,2.506830953661478
7256932462419397894,7256932462419397894.mp4,0.462,2.467732088802955
7266787602215226656,7266787602215226656.mp4,0.084,-2.4587248833709556
7332654720839896363,7332654720839896363.mp4,0.084,-2.4587248833709556
6879865999248706822,6879865999248706822.mp4,0.084,-2.4587248833709556
7290065560535076101,7290065560535076101.mp4,0.086,-2.432658973465274
7326362266419416351,7326362266419416351.mp4,0.086,-2.432658973465274
7261299093547273503,7261299093547273503.mp4,0.458,2.4156002689915907
7276460076183932203,7276460076183932203.mp4,0.457,2.40256731403875
7330470610885266721,7330470610885266721.mp4,0.09,-2.38052715365391
6768604769465502982,6768604769465502982.mp4,0.09,-2.38052715365391
7281675616263359787,7281675616263359787.mp4,0.455,2.3765014041330677
7282621002205465899,7282621002205465899.mp4,0.455,2.3765014041330677
7054736882311204143,7054736882311204143.mp4,0.454,2.363468449180227
6987794547870813446,6987794547870813446.mp4,0.092,-2.3544612437482275
7286249897777433898,7286249897777433898.mp4,0.453,2.3504354942273857
7196591477965999406,7196591477965999406.mp4,0.452,2.3374025392745446
7123303022544964907,7123303022544964907.mp4,0.095,-2.3153623788897044
6777883293959458053,6777883293959458053.mp4,0.096,-2.3023294239368637
7182888480299699457,7182888480299699457.mp4,0.447,2.2722377645103395
