video_id,video_name,stats.lighting.v_mean,z_score
6777883293959458053,6777883293959458053.mp4,0.97,3.0023935592182354
7262478354459266305,7262478354459266305.mp4,0.959,2.9437457272784155
6892044060396195078,6892044060396195078.mp4,0.952,2.9064243796803484
6871504904268139777,6871504904268139777.mp4,0.943,2.858439789911405
6777542088306199813,6777542088306199813.mp4,0.903,2.6451749464938783
6777308271121386758,6777308271121386758.mp4,0.888,2.565200630212306
7054573770320760110,7054573770320760110.mp4,0.888,2.565200630212306
7314381798862114090,7314381798862114090.mp4,0.886,2.5545373880414295
7280012581522214186,7280012581522214186.mp4,0.881,2.5278792826142387
7214592749838896427,7214592749838896427.mp4,0.875,2.4958895561016092
7303654381335989534,7303654381335989534.mp4,0.868,2.458568208503542
7119302716538621227,7119302716538621227.mp4,0.867,2.453236587418104
7210273013424524546,7210273013424524546.mp4,0.866,2.4479049663326657
7243006574799719706,7243006574799719706.mp4,0.864,2.4372417241617894
6777721659378978053,6777721659378978053.mp4,0.862,2.426578481990913
6777475492443376902,6777475492443376902.mp4,0.852,2.3732622711365314
6768604769465502982,6768604769465502982.mp4,0.852,2.3732622711365314
7297673734180097322,7297673734180097322.mp4,0.845,2.3359409235384643
6905444836980182277,6905444836980182277.mp4,0.844,2.330609302453026
6918625486524435718,6918625486524435718.mp4,0.844,2.330609302453026
7322189891809594670,7322189891809594670.mp4,0.843,2.325277681367588
7267175584231394593,7267175584231394593.mp4,0.839,2.3039511970258353
7291227089586425131,7291227089586425131.mp4,0.835,2.2826247126840826
7037217405734751534,7037217405734751534.mp4,0.828,2.2453033650860155
7126662542776077610,7126662542776077610.mp4,0.827,2.239971744000577
7211411535116242182,7211411535116242182.mp4,0.825,2.2293085018297005
7221229325574638894,7221229325574638894.mp4,0.823,2.218645259658824
7314335703985327402,7314335703985327402.mp4,0.822,2.213313638573386
6777371530625158405,6777371530625158405.mp4,0.82,2.2026503964025097
6991988184154524933,6991988184154524933.mp4,0.817,2.186655533146195
6777647612846722309,6777647612846722309.mp4,0.816,2.181323912060757
7270592345639357739,7270592345639357739.mp4,0.0,-2.169278893656789
7291223254650326277,7291223254650326277.mp4,0.0,-2.169278893656789
7209726742934752558,7209726742934752558.mp4,0.0,-2.169278893656789
6777693964343512326,6777693964343512326.mp4,0.812,2.1599974277190053
6954378448177515782,6954378448177515782.mp4,0.003,-2.1532840304004743
7174910631513050414,7174910631513050414.mp4,0.005,-2.142620788229598
7290639821331074347,7290639821331074347.mp4,0.807,2.133339322291814
7162531297846480171,7162531297846480171.mp4,0.802,2.106681216864623
6987794547870813446,6987794547870813446.mp4,0.802,2.106681216864623
7320557768874741034,7320557768874741034.mp4,0.801,2.101349595779185
6826046196797213957,6826046196797213957.mp4,0.801,2.101349595779185
7273527966674521386,7273527966674521386.mp4,0.013,-2.0999678195460927
7199767702469332270,7199767702469332270.mp4,0.013,-2.0999678195460927
6782316647144230150,6782316647144230150.mp4,0.014,-2.0946361984606545
7312962238552263967,7312962238552263967.mp4,0.797,2.0800231114374323
7155992484311616810,7155992484311616810.mp4,0.017,-2.07864133520434
6960037663906794757,6960037663906794757.mp4,0.794,2.064028248181118
7325415130240519430,7325415130240519430.mp4,0.794,2.064028248181118
7288896097978699038,7288896097978699038.mp4,0.794,2.064028248181118
