dataset,model,epoch,train_elapsed_sec,val_elapsed_sec,train_elapsed_hms,val_elapsed_hms,test_elapsed_hms,test_elapsed_sec,notes
FakeTT,M2,0,34.0,9.0,00:34,00:09,,,
FakeTT,M2,1,35.0,9.0,00:35,00:09,,,
FakeTT,M2,2,35.0,8.0,00:35,00:08,,,
FakeTT,M2,3,32.0,8.0,00:32,00:08,,,
FakeTT,M2,4,31.0,7.0,00:31,00:07,,,
FakeTT,M2,5,32.0,8.0,00:32,00:08,,,
FakeTT,M2,6,33.0,8.0,00:33,00:08,,,
FakeTT,M2,7,33.0,8.0,00:33,00:08,,,
FakeTT,M2,8,33.0,8.0,00:33,00:08,,,
FakeTT,M2,9,34.0,8.0,00:34,00:08,,,
FakeTT,M2,10,33.0,8.0,00:33,00:08,,,
FakeTT,M2,11,34.0,9.0,00:34,00:09,,,
FakeTT,M2,12,33.0,8.0,00:33,00:08,,,
FakeTT,M2,13,34.0,8.0,00:34,00:08,,,
FakeTT,M2,14,33.0,9.0,00:33,00:09,,,
FakeTT,M2,15,33.0,8.0,00:33,00:08,,,
FakeTT,M2,16,31.0,7.0,00:31,00:07,,,
FakeTT,M2,17,31.0,8.0,00:31,00:08,,,
FakeTT,M2,18,31.0,7.0,00:31,00:07,,,
FakeTT,M2,ALL,625.0,153.0,10:25,02:33,00:09,9.0,TRAIN/VAL elapsed: first tqdm 100% after each phase marker; TEST elapsed: test tqdm 100% preferred (fallback to last unassigned 100% / 'Testing complete in').
