video_id,stats.video_name,stats.num_shots,stats.avg_shot_len_sec,stats.cuts_per_30s,stats.lighting.s_mean,stats.lighting.v_mean,stats.lighting.v_std,stats.movement_counts.static_shot,stats.movement_counts.pan_horizontal,stats.movement_counts.tilt_vertical,stats.movement_counts.dolly_in,stats.movement_counts.dolly_out,stats.editing_rhythm_guess,stats.lighting.quality,stats.lighting.condition,stats.lighting.color_temperature,analysis.video_analysis.editing_rhythm,analysis.video_analysis.color_tone,analysis.video_analysis.lighting_style,analysis.video_analysis.confidence_score,analysis.video_analysis.shot_types,analysis.video_analysis.camera_movements,analysis.video_analysis.composition_styles,analysis.video_analysis.overall_style,analysis.style_tags
6687587479509273861,6687587479509273861.mp4,1.0,4.867,0.0,0.556,0.236,0.214,0.0,0.0,0.0,1.0,0.0,slow,medium_contrast,dim_low_light,warm_tone,slow,warm_tone,medium_contrast,0.3,medium_shot,dolly_in,rule_of_thirds,documentary_style|narrative_style|warm_mood,medium_shot|dolly_in|medium_contrast|documentary_style|warm_tone|warm_mood|narrative_style|slow|rule_of_thirds
6705013461971111174,6705013461971111174.mp4,2.0,11.652,1.286,0.476,0.417,0.171,1.0,0.0,0.0,0.0,0.0,slow,medium_contrast,dim_low_light,cool_tone,slow,cool_tone,medium_contrast,0.3,medium_shot,static_shot,rule_of_thirds,documentary_style|narrative_style,cool_tone|static_shot|medium_shot|medium_contrast|documentary_style|narrative_style|slow|rule_of_thirds
6717686855946571013,6717686855946571013.mp4,1.0,12.8,0.0,0.266,0.695,0.283,0.0,0.0,0.0,0.0,1.0,slow,high_contrast,overcast_neutral,warm_tone,slow,warm_tone,high_contrast,0.3,medium_shot,dolly_out,rule_of_thirds,documentary_style|narrative_style|warm_mood,medium_shot|documentary_style|warm_mood|warm_tone|high_contrast|narrative_style|slow|dolly_out|rule_of_thirds
6718519652286287110,6718519652286287110.mp4,1.0,58.967,0.0,0.821,0.698,0.317,0.0,0.0,0.0,1.0,0.0,slow,high_contrast,overcast_neutral,warm_tone,slow,warm_tone,high_contrast,0.3,medium_shot,dolly_in,rule_of_thirds,documentary_style|narrative_style|warm_mood,medium_shot|dolly_in|documentary_style|warm_mood|warm_tone|high_contrast|narrative_style|slow|rule_of_thirds
6735967653942332677,6735967653942332677.mp4,3.0,3.715,5.352,0.247,0.612,0.275,1.0,1.0,1.0,0.0,0.0,fast,high_contrast,overcast_neutral,warm_tone,fast,warm_tone,high_contrast,0.3,medium_shot,static_shot,rule_of_thirds,documentary_style|narrative_style|warm_mood,static_shot|fast|medium_shot|documentary_style|warm_mood|warm_tone|high_contrast|narrative_style|rule_of_thirds
6741835006378806534,6741835006378806534.mp4,4.0,2.208,10.075,0.156,0.671,0.248,0.0,0.0,1.0,1.0,2.0,very_fast,high_contrast,overcast_neutral,cool_tone,very_fast,cool_tone,high_contrast,0.3,medium_shot,dolly_out,rule_of_thirds,documentary_style|narrative_style,cool_tone|very_fast|medium_shot|documentary_style|high_contrast|narrative_style|dolly_out|rule_of_thirds
6754030844094041350,6754030844094041350.mp4,1.0,6.8,0.0,0.318,0.699,0.303,1.0,0.0,0.0,0.0,0.0,slow,high_contrast,overcast_neutral,warm_tone,slow,warm_tone,high_contrast,0.3,medium_shot,static_shot,rule_of_thirds,documentary_style|narrative_style|warm_mood,static_shot|medium_shot|documentary_style|warm_mood|warm_tone|high_contrast|narrative_style|slow|rule_of_thirds
6764167854897106182,6764167854897106182.mp4,3.0,7.6,2.624,0.358,0.599,0.276,2.0,0.0,0.0,1.0,0.0,slow,high_contrast,overcast_neutral,warm_tone,slow,warm_tone,high_contrast,0.3,medium_shot,static_shot,rule_of_thirds,documentary_style|narrative_style|warm_mood,static_shot|medium_shot|documentary_style|warm_mood|warm_tone|high_contrast|narrative_style|slow|rule_of_thirds
6767567676962295046,6767567676962295046.mp4,1.0,6.267,0.0,0.327,0.558,0.3,0.0,0.0,1.0,0.0,0.0,slow,high_contrast,overcast_neutral,warm_tone,slow,warm_tone,high_contrast,0.3,medium_shot,tilt_vertical,rule_of_thirds,documentary_style|narrative_style|warm_mood,medium_shot|tilt_vertical|slow|rule_of_thirds|warm_tone|high_contrast|documentary_style|narrative_style|warm_mood
6768604769465502982,6768604769465502982.mp4,7.0,2.762,9.215,0.212,0.852,0.09,5.0,0.0,0.0,2.0,0.0,very_fast,soft_low_contrast,bright_sunny,cool_tone,very_fast,cool_tone,soft_low_contrast,0.3,medium_shot,static_shot,rule_of_thirds,documentary_style|narrative_style,cool_tone|static_shot|very_fast|medium_shot|documentary_style|soft_low_contrast|narrative_style|rule_of_thirds
