procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0 1030464 208335552  30308 772261376    4    6    11    79    0    0  4  0 96  0  0
 6  0 1030464 208005632  30308 772261376    0    0     0   200 77742 8307 11  0 89  0  0
 7  0 1030464 207811504  30308 772261376    0    0     0    17 35402 7263  7  1 92  0  0
 6  0 1030464 207734912  30308 772261376    0    0     0  2075 20788 7567  3  1 96  0  0
 6  0 1030464 207407712  30308 772261376    0    0     0     0 20160 8841  4  0 96  0  0
 7  0 1030464 206769120  30308 772269568    0    0     0     0 33877 6210  6  0 94  0  0
 6  0 1030464 205246336  30308 772269568    0    0     0    33 13250 4964  3  0 96  0  0
 6  0 1030464 204404512  30308 772269568    0    0     0    18 26185 5581  4  1 96  0  0
 7  0 1030464 202404272  30308 772269632    0    0     0   260 16789 4306  3  0 97  0  0
 7  0 1030464 200625408  30308 772279680    0    0     0     9 16130 6761  3  1 97  0  0
 6  0 1030464 198197440  30308 772279872    0    0     0     3 13859 5250  3  1 96  0  0
 6  0 1030464 195411888  30308 772286784    0    0     0     0 12019 4649  3  1 97  0  0
 6  0 1030464 193334784  30308 772286784    0    0     0    13 12490 4391  3  0 97  0  0
 7  0 1030464 192345344  30308 772286848    0    0     0   161 17505 6894  3  0 96  0  0
 6  0 1030464 192007616  30308 772286848    0    0     0    32 26750 5736  3  0 97  0  0
133  0 1030464 190394064  30308 772286848    0    0     0     3 12125 4653  3  0 97  0  0
 7  0 1030464 188770864  30308 772286848    0    0     0     0 14439 4863  3  0 96  0  0
 6  0 1030464 187152944  30308 772286848    0    0     0    26 13052 4747  3  0 97  0  0
 6  0 1030464 186237152  30308 772286848    0    0     0    72 12957 4952  3  0 96  0  0
 6  0 1030464 184610848  30308 772286848    0    0     0   147 13164 5455  3  0 97  0  0
 6  0 1030464 182980464  30308 772286848    0    0     0   920 11863 4269  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 1030464 181366736  30308 772286848    0    0     0    86 13879 4809  3  0 96  0  0
 6  0 1030464 180839008  30308 772286848    0    0     0   900 12652 4700  3  0 96  0  0
 6  0 1030464 179993936  30308 772286848    0    0     0     0 14067 5525  4  0 96  0  0
 6  0 1030464 178364944  30308 772286848    0    0     0   321 14888 6763  3  1 96  0  0
 6  0 1030464 176738016  30308 772286848    0    0     0     0 11944 4229  3  1 96  0  0
 6  0 1030464 175140416  30308 772286848    0    0     0   132 15532 5265  4  1 96  0  0
 6  0 1030464 174021600  30308 772286848    0    0     0     0 12175 4447  3  0 97  0  0
 7  0 1030464 172398768  30308 772286848    0    0     0   210 45377 28478  3  1 96  0  0
 7  0 1030464 170088240  30308 772612480    0    0     0   256 24593 14680  3  1 96  0  0
 9  0 1030464 169482288  30308 772286912    0    0     0 347800 30865 20959  3  1 96  0  0
 9  0 1030464 169453680  30308 772286912    0    0     0     0 18847 18877  3  0 96  0  0
 8  0 1030464 168993408  30308 772286976    0    0   164  1782 81186 30532 24  1 75  0  0
 7  0 1030464 168492736  30308 772287168    0    0   208     0 83043 32487 25  1 74  0  0
 7  0 1030464 168229408  30308 772297920    0    0    40     0 84691 13462 28  1 71  0  0
 7  0 1030464 168191056  30308 772298368    0    0     0   109 12813 7421  3  0 97  0  0
133  0 1030464 168189984  30308 772298368    0    0     0    12 14417 4807  4  0 96  0  0
 7  0 1030464 168188192  30308 772298368    0    0     0     0 12390 4646  3  0 96  0  0
 7  0 1030464 168200768  30308 772298368    0    0     0   228 14965 7422  3  0 97  0  0
 6  0 1030464 168200832  30308 772298368    0    0     0     0 16352 5669  4  0 96  0  0
 6  0 1030464 168199872  30308 772298368    0    0     0     0 12454 5890  3  0 97  0  0
 6  0 1030464 168198704  30308 772298368    0    0     0     0 12958 5522  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 1030464 168197648  30308 772298368    0    0     0     0 15791 6344  4  0 96  0  0
 6  0 1030464 168195744  30308 772298368    0    0     0   625 14653 4904  3  0 97  0  0
 6  0 1030464 168195392  30308 772298368    0    0     0    43 11091 4526  3  0 97  0  0
 8  0 1030464 168191696  30308 772301120    0    0     0    96 15099 7642  4  0 96  0  0
 6  0 1030464 168190288  30308 772301120    0    0     0    56 20973 6818  3  0 96  0  0
 6  0 1030464 168189440  30308 772301120    0    0     0     0 18928 5450  4  0 96  0  0
 6  0 1030464 168188832  30308 772301120    0    0     0     0 11146 4407  3  0 97  0  0
 6  0 1030464 168187584  30308 772301120    0    0     0     2 10903 4566  3  0 97  0  0
 6  0 1030464 168188224  30308 772301120    0    0     0  5413 24191 6208  4  0 96  0  0
 8  0 1030464 168131136  30308 772301120    0    0     0   119 11882 4841  3  0 97  0  0
 6  0 1030464 168096560  30308 772301184    0    0   120 12347 458763 16093 18  1 81  0  0
 7  0 1030464 168094288  30308 772301440    0    0   168    54 530052 22798 30  1 69  0  0
134  0 1030464 167295216  30308 772301568    0    0   140     3 218141 18544 30  1 69  0  0
 6  0 1030464 167731760  30308 772301568    0    0     0    96 73317 5989 10  1 89  0  0
 6  0 1030464 167731248  30308 772301568    0    0     0     0 11386 4335  3  0 97  0  0
 6  0 1030464 167729408  30308 772301568    0    0     0   239 14182 7612  4  0 96  0  0
 6  0 1030464 167725120  30308 772301632    0    0     0     3 14026 5035  4  0 96  0  0
 6  0 1030464 167723792  30308 772301632    0    0     0     0 12215 4476  3  0 96  0  0
 6  0 1030464 167724480  30308 772301632    0    0     0     0 14398 5427  4  0 96  0  0
 6  0 1030464 167723696  30308 772301632    0    0     0  2024 12847 6048  3  0 96  0  0
 7  0 1030464 167725056  30308 772301632    0    0     0     0 12339 4727  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 1030464 167724528  30308 772301632    0    0     0    16 19834 4116  3  0 97  0  0
 7  0 1030464 167722832  30308 772301632    0    0     0     0 13887 5385  3  0 97  0  0
 6  0 1030464 167722048  30308 772301632    0    0     0     0 15248 5651  4  0 96  0  0
 6  0 1030464 167722048  30308 772301632    0    0     0   188 11600 4527  3  0 97  0  0
 6  0 1030464 167721520  30308 772301632    0    0     0     0 20688 4921  3  0 97  0  0
 7  0 1030464 167720896  30308 772301632    0    0     0     0 12747 4640  4  0 96  0  0
 7  0 1030464 167719104  30308 772301632    0    0     0    11 10942 4214  3  0 97  0  0
134  0 1030464 167719392  30308 772301632    0    0    48     3 103170 9119  9  0 91  0  0
134  0 1030464 167717696  30308 772301824    0    0   212   184 266644 20213 27  1 72  0  0
133  0 1030464 167387408  30308 772302080    0    0   152    52 173486 14955 26  1 73  0  0
 6  0 1030464 167677152  30308 772302080    0    0     0     0 50177 4397 11  1 88  0  0
 6  0 1030464 167677280  30308 772302080    0    0     0    12 12510 4688  4  0 96  0  0
 6  0 1030464 167677168  30308 772302080    0    0     0    18 12340 4973  4  0 96  0  0
 6  0 1030464 167678368  30308 772302080    0    0     0   112 11256 3962  3  0 97  0  0
 6  0 1030464 167676560  30308 772302080    0    0     0     0 14048 5158  4  0 96  0  0
 6  0 1030464 167675776  30308 772302080    0    0     0    51 11903 5888  3  0 97  0  0
 6  0 1030464 167674560  30308 772302144    0    0     0     3 12748 6303  4  0 96  0  0
 6  0 1030464 167675328  30308 772302464    0    0     0 348256 18800 5731  3  0 96  0  0
 6  0 1030464 167683008  30308 772302144    0    0     0    89 12140 5074  3  0 97  0  0
 6  0 1030464 167683856  30308 772302144    0    0     0 10635 19002 5476  4  0 96  0  0
 7  0 1030464 167682640  30308 772302144    0    0     0     3 11770 4802  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 1030464 167682864  30308 772302144    0    0     0     0 10629 3918  3  0 97  0  0
 6  0 1030464 167688784  30308 772302144    0    0     0     0 12959 5621  4  0 96  0  0
 7  0 1030464 167684272  30308 772302144    0    0     0     0 11644 4469  3  0 97  0  0
 7  0 1030464 167683968  30308 772302144    0    0     0     0 12351 4403  3  0 97  0  0
 8  0 1030464 167677888  30308 772302144    0    0     0   190 13085 5680  4  0 96  0  0
 6  0 1030464 167660128  30308 772302208    0    0     0   259 35273 27777  4  1 95  0  0
 8  0 1030464 167658144  30308 772302208    0    0   120    18 235296 29708 21  1 78  0  0
 8  0 1030464 167616704  30308 772302400    0    0   192     0 160156 31726 25  1 74  0  0
 8  0 1030464 167613504  30308 772302592    0    0    68     0 887249 24498 47  3 50  0  0
 7  0 1030464 167613216  30308 772302592    0    0     0     0 29426 16572  4  0 95  0  0
 7  0 1030464 167611184  30308 772302528    0    0     0  1602 25388 17826  3  0 96  0  0
 8  0 1030464 167612000  30308 772302528    0    0     0   166 11480 4602  3  0 97  0  0
 6  0 1030464 167612288  30308 772302528    0    0     0  4953 13971 5543  4  0 96  0  0
 6  0 1030464 167613200  30308 772302528    0    0     0    18 11238 4222  3  0 97  0  0
 6  0 1030464 167624608  30308 772302528    0    0     0     0 13870 5639  4  0 96  0  0
 7  0 1030464 167626896  30308 772302528    0    0     0     0 13399 5922  3  0 97  0  0
 6  0 1030464 167627168  30308 772302528    0    0     0   597 12020 6645  3  0 97  0  0
 7  0 1030464 167629184  30308 772302528    0    0     0    97 12273 4675  4  0 96  0  0
 6  0 1030464 167629712  30308 772302528    0    0     0    18 11188 4460  3  0 97  0  0
 6  0 1030464 167630016  30308 772302528    0    0     0     0 10578 3999  3  0 97  0  0
 7  0 1030464 167630064  30308 772302528    0    0     0    12 13356 4730  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0 1030464 167629984  30308 772302528    0    0     0     0 11212 4914  3  0 97  0  0
 6  0 1030464 167629744  30308 772302528    0    0     0     0 11536 4471  3  0 97  0  0
133  0 1030464 167628672  30308 772302592    0    0   144   112 93048 15720 18  0 81  0  0
133  0 1030464 167628416  30308 772302784    0    0   220    14 100595 20920 27  1 72  0  0
 6  0 1030464 167629600  30308 772302976    0    0    32     0 88433 12677 29  1 69  0  0
 6  0 1030464 167627648  30308 772302976    0    0     0   454 12018 5501  3  0 96  0  0
 6  0 1030464 167635552  30308 772302976    0    0     0    68 12745 6275  4  0 96  0  0
 6  0 1030464 167635520  30308 772302976    0    0     0  4225 11221 4326  3  0 97  0  0
 6  0 1030464 167632144  30308 772302976    0    0     0    76 12949 5377  3  0 97  0  0
 7  0 1030464 167632176  30308 772302976    0    0     0     3 12227 4884  4  0 96  0  0
 6  0 1030464 167631376  30308 772302976    0    0     0     0 11128 4892  3  0 97  0  0
 6  0 1030464 167630992  30308 772302976    0    0     0   140 10870 4105  3  0 97  0  0
 6  0 1030464 167631408  30308 772302976    0    0     0  3864 18794 4417  4  0 96  0  0
 6  0 1030464 167631616  30308 772302976    0    0     0     0 10524 4193  3  0 97  0  0
 6  0 1030464 167626400  30308 772302976    0    0     0     0 13652 4815  4  0 96  0  0
 6  0 1030464 167627904  30308 772302976    0    0     0     0 11556 4711  3  0 97  0  0
 6  0 1030464 167628672  30308 772303040    0    0     0    87 10745 4121  3  0 97  0  0
 6  0 1030464 167628560  30308 772303040    0    0     0    99 12983 6888  4  0 96  0  0
 6  0 1030464 167627552  30308 772303040    0    0     0     0 10716 4288  3  0 97  0  0
12  0 1030464 167626912  30308 772303168    0    0   160     0 56075 16025 18  0 82  0  0
133  0 1030464 167624784  30308 772303360    0    0   212     7 85158 21558 26  1 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 1030464 167622400  30308 772303424    0    0    36     3 1008385 9862 37  2 61  0  0
 6  0 1030464 167621424  30308 772303424    0    0     0   258 12008 6157  3  0 97  0  0
 6  0 1030464 167620064  30308 772303488    0    0     0    18 12597 4688  4  0 96  0  0
 8  0 1030464 167620512  30308 772303488    0    0     0     0 11358 4423  3  0 97  0  0
 7  0 1030464 167177520  30308 772396224    0    0     0     0 11847 4949  3  0 97  0  0
 6  0 1030464 167617888  30308 772303744    0    0     0 347802 20408 6886  4  0 96  0  0
 6  0 1030464 167618176  30308 772303488    0    0     0    23 11395 4437  3  0 97  0  0
 6  0 1030464 167618672  30308 772303488    0    0     0     0 10985 4324  3  0 97  0  0
 8  0 1030464 167577744  30308 772303488    0    0     0    75 19822 22373  3  0 97  0  0
 6  0 1030464 167613600  30308 772303488    0    0     0     0 14390 17502  2  0 97  0  0
 6  0 1030464 167873344  30308 772307264    0    0     0    44 10962 4786  2  0 98  0  0
 6  0 1030464 167537312  30308 772307264    0    0     0    16 12635 4233  2  0 98  0  0
 6  0 1030464 167538000  30308 772307264    0    0     0    67 19229 5291  4  0 96  0  0
 6  0 1030464 167537280  30308 772307264    0    0     0     3 11429 4589  3  0 97  0  0
 6  0 1030464 167537872  30308 772307264    0    0     0   497 11242 4400  3  0 97  0  0
 6  0 1030464 167545056  30308 772307264    0    0     0    14 15011 6319  4  0 96  0  0
 6  0 1030464 167539840  30308 772307392    0    0   132  8718 266356 19228 23  1 76  0  0
 7  0 1030464 167493632  30308 772307520    0    0   148    21 142686 16477 20  1 80  0  0
 6  0 1030464 167494544  30308 772307584    0    0   116     0 305142 16089 40  2 59  0  0
 6  0 1030464 167493072  30308 772307712    0    0     0     0 13976 7606  4  0 96  0  0
 7  0 1030464 167492928  30308 772307712    0    0     0     0 31338 5965  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 1030464 167491584  30308 772307712    0    0     0     0 14313 5139  4  0 96  0  0
 9  0 1030464 167463968  30308 772307712    0    0     0  8840 36463 17701  4  0 95  0  0
 8  0 1030464 167471200  30308 772307776    0    0     0   123 22869 18557  4  0 96  0  0
 7  0 1030464 167469920  30308 772307776    0    0     0     0 21279 18800  4  0 95  0  0
 7  0 1030464 167470016  30308 772307776    0    0     0     0 18522 17601  3  0 96  0  0
 7  0 1030464 167469168  30308 772307776    0    0     0  1610 18149 17430  3  0 96  0  0
 7  0 1030464 167469552  30308 772307776    0    0     0     0 20293 17071  4  0 95  0  0
 6  0 1030464 167471168  30308 772307776    0    0     0    92 13843 8310  3  0 97  0  0
 6  0 1030464 167470384  30308 772307776    0    0     0    84 13873 5730  3  0 97  0  0
 6  0 1030464 167471024  30308 772307776    0    0     0     3 14296 5434  4  0 96  0  0
 6  0 1030464 167471088  30308 772307840    0    0     0     0 11618 4333  3  0 97  0  0
 6  0 1030464 167481632  30308 772307840    0    0     0   192 13727 5483  4  0 96  0  0
 6  0 1030464 167486816  30308 772307840    0    0     0   192 14718 5878  3  0 96  0  0
 6  0 1030464 167486912  30308 772307840    0    0     0     0 11302 3953  3  0 97  0  0
260  0 1030464 167486592  30308 772307904    0    0   180     0 172496 21418 25  1 74  0  0
133  0 1030464 167483792  30308 772308160    0    0   148     0 84904 15597 19  0 81  0  0
 6  0 1030464 167458112  30308 772308288    0    0    64   714 111294 9808 25  1 74  0  0
 7  0 1030464 167456864  30308 772308288    0    0     0   140 15263 4158  3  0 97  0  0
 6  0 1030464 167457056  30308 772308288    0    0     0     0 16414 4544  4  0 96  0  0
 8  0 1030464 167457072  30308 772308288    0    0     0     0 11729 5317  3  0 97  0  0
 6  0 1030464 167457024  30308 772308288    0    0     0     0 11581 5836  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 1030464 167456896  30308 772308288    0    0     0     2 12124 4260  4  0 96  0  0
 6  0 1030464 167456544  30308 772308288    0    0     0    16 11979 4637  3  0 97  0  0
 6  0 1030464 167456400  30308 772308288    0    0     0  2355 12939 4989  4  0 96  0  0
 7  0 1030464 167463008  30308 772308288    0    0     0    64 11303 4885  3  0 97  0  0
 6  0 1030464 167462592  30308 772308288    0    0     0  2353 12602 4613  4  0 96  0  0
 7  0 1030464 167464096  30308 772308288    0    0     0   219 13158 5062  4  0 96  0  0
 6  0 1030464 167463264  30308 772308288    0    0     0     5 11194 4549  3  0 97  0  0
 6  0 1030464 167460128  30308 772308288    0    0     0     0 12468 4785  3  0 97  0  0
 6  0 1030464 167459408  30308 772308288    0    0     0  1528 13193 5804  4  0 96  0  0
 7  0 1030464 167459040  30308 772308352    0    0     0     0 12202 4266  3  0 96  0  0
 6  0 1030464 167457616  30308 772308352    0    0     0     0 11546 6147  3  0 97  0  0
 6  0 1030464 167456496  30308 772308352    0    0     0     0 11966 4302  4  0 96  0  0
 6  0 1030464 167455680  30308 772308352    0    0   132   220 174730 15648 19  1 80  0  0
64  0 1030464 166759152  30308 772656256    0    0   220 231662 239330 20357 25  1 74  0  0
 6  0 1030464 167454976  30308 772308736    0    0    56 116278 468580 13137 30  2 68  0  0
 6  0 1030464 167454384  30308 772308736    0    0     0     0 10827 3987  3  0 97  0  0
 7  0 1030464 167454656  30308 772308736    0    0     0     0 11389 4204  3  0 97  0  0
 6  0 1030464 167454496  30308 772308736    0    0     0    11 13524 5106  4  0 96  0  0
 6  0 1030464 167454432  30308 772308736    0    0     0     3 13484 5431  3  0 97  0  0
 6  0 1030464 167453888  30308 772308736    0    0     0    80 11614 4932  3  0 97  0  0
 6  0 1030464 167455088  30308 772308800    0    0     0     0 12339 4275  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 1030464 167455360  30308 772308800    0    0     0   220 12316 6000  3  0 96  0  0
 6  0 1030464 167455328  30308 772308800    0    0     0     0 11487 4591  3  0 97  0  0
 6  0 1030464 167455376  30308 772308800    0    0     0     0 12796 4532  4  0 96  0  0
 6  0 1030464 167455872  30308 772308800    0    0     0    59 12628 4949  3  0 97  0  0
133  0 1030464 167456032  30308 772308800    0    0     0     0 13654 4290  4  0 96  0  0
 7  0 1030464 167455920  30308 772308800    0    0     0     0 17341 6463  3  0 97  0  0
 7  0 1030464 167450016  30308 772308800    0    0     0    24 23550 8661  4  0 96  0  0
 7  0 1030464 167449408  30308 772308864    0    0    12   252 17963 9224  4  0 96  0  0
 6  0 1030464 167394592  30308 772309440    0    0    84   928 178236 17609 12  1 88  0  0
135  0 1030464 167394368  30308 772308992    0    0   184    78 253674 19023 26  1 73  0  0
 6  0 1030464 167196848  30308 772309312    0    0   156     0 686765 19703 33  1 66  0  0
 6  0 1030464 167393360  30308 772309312    0    0     0     9 124891 7233 19  1 79  0  0
 6  0 1030464 167399728  30308 772309312    0    0     0   433 13203 5456  4  0 96  0  0
 6  0 1030464 167398464  30308 772309312    0    0     0  2299 11572 4738  3  0 97  0  0
 6  0 1030464 167397344  30308 772309312    0    0     0  8676 12641 5291  3  0 97  0  0
 6  0 1030464 167350112  30308 772309824    0    0   728     0 15524 5363  5  0 95  0  0
 6  0 1030464 167335600  30308 772310976    0    0   920    79 12670 5557  3  0 97  0  0
 6  0 1030464 167317344  30308 772310976    0    0     0     0 14682 7496  4  0 96  0  0
 6  0 1030464 167302080  30308 772310976    0    0     0   112 17400 6558  3  0 96  0  0
 7  0 1030464 167259440  30308 772310976    0    0     0   218 41918 32943  5  1 95  0  0
134  0 1030464 167210784  30308 772311040    0    0     0  1823 21618 21252  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  0 1030464 166985408  30308 772311040    0    0     4     3 28267 24754  4  1 96  0  0
 7  0 1030464 166886336  30308 772311104    0    0    44     0 30076 24617  4  1 96  0  0
 8  0 1030464 166885520  30308 772311168    0    0     0  2363 22044 19765  4  0 96  0  0
 7  0 1030464 166851328  30308 772324416    0    0     0 13353 31392 20433  4  0 95  0  0
134  0 1030464 166835328  30308 772328512    0    0   172    30 75037 25307 22  1 78  0  0
135  0 1030464 166766352  30308 772350016    0    0   396 48779 102548 48388 23  1 77  0  0
 6  0 1030464 166790464  30308 772325120    0    0    32     3 629781 10352 27  2 71  0  0
 7  0 1030464 166781632  30308 772325120    0    0    40   205 21735 7096  4  0 96  0  0
10  0 1030464 166847760  30308 772325120    0    0     0     5 29865 12051  4  0 96  0  0
 6  0 1030464 166826560  30308 772325184    0    0     4     0 13757 6207  3  0 97  0  0
 6  0 1030464 166825424  30308 772325184    0    0     0   854 15713 5810  4  0 96  0  0
 6  0 1030464 166826096  30308 772325184    0    0     0     0 16020 6757  4  0 96  0  0
 6  0 1030464 166825056  30308 772325184    0    0     0     0 13202 6105  3  0 97  0  0
 6  0 1030464 166824480  30308 772325184    0    0     0    96 14830 5807  4  0 96  0  0
 7  0 1030464 166867104  30308 772325184    0    0     0     0 15160 6081  3  0 97  0  0
 6  0 1030464 166873120  30308 772325184    0    0     0    11 12784 5436  3  0 97  0  0
 7  0 1030464 166874528  30308 772325184    0    0     0     0 14394 6321  4  0 96  0  0
 8  0 1030464 166874016  30308 772325184    0    0     0    14 13869 8090  3  0 97  0  0
 6  0 1030464 166873568  30308 772325184    0    0     0  2088 13156 5540  3  0 97  0  0
 6  0 1030464 166875680  30308 772325184    0    0     0     0 13071 5110  4  0 96  0  0
 8  0 1030464 166814016  30308 772325184    0    0    44    11 24121 8224  7  0 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 1030464 166853024  30308 772325248    0    0   188   341 74348 19983 23  0 77  0  0
260  0 1030464 166196160  30308 772325632    0    0   172 350129 143901 21385 33  2 65  0  0
 6  0 1030464 166840336  30308 772325632    0    0     0  3125 72126 10433 12  0 88  0  0
 6  0 1030464 167222912  30308 772325632    0    0    24     3 16223 7429  3  0 97  0  0
 6  0 1030464 167225856  30308 772325696    0    0     0     0 11926 4780  3  0 96  0  0
 6  0 1030464 167228832  30308 772325696    0    0     0     0 17957 5208  4  0 96  0  0
 6  0 1030464 167228576  30308 772325696    0    0     0     0 12922 5498  3  0 97  0  0
 7  0 1030464 167228640  30308 772325696    0    0     0    16 11397 4751  3  0 97  0  0
 6  0 1030464 167228544  30308 772325696    0    0     0   417 13076 4995  4  0 96  0  0
 6  0 1030464 167228064  30308 772325696    0    0     0     3 12149 4805  3  0 97  0  0
