section,sv_missing_rate,tt_missing_rate,sv_n,sv_mean,sv_std,sv_min,sv_p01,sv_p05,sv_p25,sv_p50,sv_p75,sv_p95,sv_p99,sv_max,tt_n,tt_mean,tt_std,tt_min,tt_p01,tt_p05,tt_p25,tt_p50,tt_p75,tt_p95,tt_p99,tt_max,ks_stat,wasserstein,group,field,kind,psi,bins,winsor_lo,winsor_hi,plot_range_lo,plot_range_hi,bin_left,bin_right,sv_pct,tt_pct,pct_diff
summary,0.0,0.0,3624.0,0.2519599889624724,0.07062483116157037,0.0,0.05346000000000001,0.142,0.21,0.25,0.295,0.37,0.421,0.48,1991.0,0.2726544450025113,0.07670929900326255,0.0,0.0708,0.151,0.224,0.269,0.3245,0.401,0.4391999999999998,0.486,0.1339698621722697,0.020694456040038896,stats,stats.lighting.v_std,numeric_scalar,0.10350351821587231,10.0,0.01,0.99,0.05346000000000001,0.421,,,,,
bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05346000000000001,0.171,0.09740618101545254,0.07483676544450026,-0.02256941557095228
bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171,0.199,0.10154525386313466,0.0838774485183325,-0.017667805344802168
bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199,0.2189000000000001,0.10099337748344371,0.06629834254143646,-0.03469503494200725
bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2189000000000001,0.234,0.09326710816777042,0.06529382219989954,-0.02797328596787088
bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234,0.25,0.10623620309050773,0.0803616273229533,-0.025874575767554434
bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.267,0.0998896247240618,0.11351079859367152,0.013621173869609718
bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267,0.284,0.09878587196467992,0.08437970868910095,-0.014406163275578962
bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284,0.307,0.10071743929359823,0.1150175791059769,0.014300139812378668
bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307,0.3437000000000003,0.10099337748344371,0.13862380713209443,0.03763042964865072
bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3437000000000003,0.421,0.10016556291390728,0.17780010045203415,0.07763453753812687
